IMPCTY,IYEAR,45-64,65-69,70-74,75-79,80-85,85+,White,Black,American_Indian_or_Alaskan_Native,Asian_and_PI,Hispanic,Other,0,9,12,14,16,19,Male,Female,Total_LLCPWT,CNF_MMRY_YES_LLCPWT,Percentage_CNFM,Total_LLCPWT_County,County_Percentage_CNFM
1,2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,819.3289884,67.21388991,8.2,25562.77737,0.26293657
1,2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,904.2440564,0,0.0,25562.77737,0
1,2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1814.780479,106.5170071,5.9,25562.77737,0.416687927
1,2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,548.7924618,243.8716841,44.4,25562.77737,0.954010906
1,2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1429.079317,271.9491327,19.0,25562.77737,1.063848144
1,2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,962.9614202,0,0.0,25562.77737,0
1,2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,64.28335473,0,0.0,25562.77737,0
1,2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,666.205181,0,0.0,25562.77737,0
1,2012,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,90.55863529,90.55863529,100.0,25562.77737,0.354259766
1,2012,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,185.6782324,0,0.0,25562.77737,0
1,2012,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,248.2173669,73.82312833,29.7,25562.77737,0.2887915
1,2012,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,392.961848,0,0.0,25562.77737,0
1,2012,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,131.0389375,0,0.0,25562.77737,0
1,2012,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,182.6735222,0,0.0,25562.77737,0
1,2012,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,265.2479192,0,0.0,25562.77737,0
1,2012,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,400.8569153,51.1128818,12.8,25562.77737,0.199950424
1,2012,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,432.8033015,0,0.0,25562.77737,0
1,2012,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,318.8086294,159.4043147,50.0,25562.77737,0.623579795
1,2012,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,383.8204606,198.2741106,51.7,25562.77737,0.775636026
1,2012,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,118.9175157,0,0.0,25562.77737,0
1,2012,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,21.24667734,0,0.0,25562.77737,0
1,2012,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,206.0829837,0,0.0,25562.77737,0
1,2012,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,110.6523556,42.04328326,38.0,25562.77737,0.164470717
1,2012,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,280.7936868,0,0.0,25562.77737,0
1,2012,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,709.6485703,138.4539641,19.5,25562.77737,0.541623322
1,2012,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,309.3423062,0,0.0,25562.77737,0
1,2012,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,272.8075531,0,0.0,25562.77737,0
1,2012,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,151.414906,90.84894357,60.0,25562.77737,0.355395434
1,2012,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,92.54526985,46.40449926,50.1,25562.77737,0.181531524
1,2012,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,544.4852635,0,0.0,25562.77737,0
1,2012,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,409.3331315,42.04328326,10.3,25562.77737,0.164470717
1,2012,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,939.4713644,0,0.0,25562.77737,0
1,2012,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,325.5980913,0,0.0,25562.77737,0
1,2012,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,849.5300247,15.60730323,1.8,25562.77737,0.061054802
1,2012,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,413.5756628,0,0.0,25562.77737,0
1,2012,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2082.369666,212.8775592,10.2,25562.77737,0.832763812
1,2012,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1230.891518,0,0.0,25562.77737,0
1,2012,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3031.961472,359.905152,11.9,25562.77737,1.407926638
